Year,League Gls,League Ast,League GHA,League G-PK,League G+A-PK,League Gls OP,League Ast OP,League GHA OP,League G-PK OP,League G+A-PK OP
2024,2.31,1.65,3.96,2.04,3.69,0.88,0.54,1.42,0.77,1.31
2023,2.26,1.63,3.89,2.13,3.76,1.03,0.71,1.74,0.97,1.68
2022,2.32,1.71,4.03,2.13,3.84,0.92,0.66,1.58,0.84,1.50
2021,2.21,1.37,3.58,1.89,3.26,0.71,0.45,1.16,0.68,1.13
2020,2.63,1.89,4.52,2.41,4.30,0.85,0.59,1.44,0.85,1.44
2019,2.71,1.89,4.61,2.45,4.34,0.82,0.61,1.42,0.68,1.29
2018,2.63,1.97,4.61,2.45,4.42,0.74,0.50,1.24,0.66,1.16
2017,2.08,1.42,3.50,1.84,3.26,0.68,0.47,1.16,0.63,1.11	
2016,2.66,1.89,4.55,2.50,4.39,0.47,0.39,0.87,0.45,0.84
2015,2.11,1.45,3.55,1.76,3.21,0.87,0.61,1.47,0.79,1.39
