Squad,New_Rk_transformed
Manchester City,2.603023332876275
Real Madrid,2.627284696512638
Bayern Munich,7.156323433102845
Atletico Madrid,2.6413415563194986
Arsenal,4.918882444288598
Lazio,19.68390789112848
Porto,11.085703162034044
Barcelona,15.062939690619837
Inter,7.561387927840135
Real Sociedad,8.136307710671678
RB Leipzig,14.791985545908336
Paris S-G,26.213609165344455
Dortmund,9.127277116266086
Napoli,18.57338569029011
PSV Eindhoven,19.600292787278082
FC Copenhagen,28.473904314639604
Shakhtar,23.57209116124672
Milan,30.00597857371387
Lens,29.440631669156428
Feyenoord,30.235634032634028
Newcastle Utd,31.81899711399711
Galatasaray,30.170064602064603
Manchester Utd,30.100070374070373
Benfica,32.0
RB Salzburg,31.825968253968252
Young Boys,31.82499877899878
Braga,31.940555555555555
Celtic,31.968000000000004
Antwerp,31.920555555555556
Union Berlin,31.79855555555556
Sevilla,31.858
Red Star,31.616998778998777
